Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
258907.01,-40.55395833,23.3,10.4,0,17
51374.41,-37.98041667,25.6,12.3,0,29
48231.58,-23.553125,24.9,8,0,16.7
56011.23,-14.21520833,23,18.3,0.2,19.3
57286.34,-12.88104167,20.1,13,0,10.2
54165.01,-8.994166667,15.5,12.7,0,10.5
54868.51,-8.045208333,22.4,15.4,0,17.6
46222.71,-5.662083333,19.7,15.9,0,14
54764.64,3.261875,20.3,15,0,12.4
254714.52,4.330208333,25.7,13.1,0,16.8
45809.38,5.5625,18.7,13.4,19.4,15.8
197834.35,5.745833333,19.8,12,0,9
62107.29,6.566875,13.7,8.2,3.8,14.2
45648.43,6.580625,21.3,12.1,0,21.7
54518.47,7.218333333,15.6,10.7,20.4,11.5
51871.54,7.251458333,16.2,11.3,0,6.7
53914.1,7.917083333,18.3,9.9,0,10.4
52912.75,8.439791667,17.6,9.8,1,5.7
52088.68,8.633125,18.4,13.8,0,5.2
200333.77,10.03104167,19.3,9.2,0,15.6
52431.7,10.40520833,20.6,13,0.5,14.1
193145.87,10.755625,17.7,15.4,18,6.6
57031.16,11.22333333,19.6,10.7,0,6.8
51666.9,11.901875,17.3,12.5,0,5.7
58989.86,12.23,15,8.2,2.8,9.2
219285.51,12.49291667,21.1,15.1,0,6.2
262436.25,12.89875,20.7,11.7,0,14.2
49710.52,13.07125,16.4,14.5,0,9.1
275598.45,13.32625,23.2,15.1,0,17
52808.39,13.38145833,19,10.6,0,4
57517.55,13.51729167,20.9,9.2,0,11.7
195218.12,13.758125,25.1,14.2,16.2,21
46789.63,14.50854167,20.6,14.3,1.8,11.6
250626.84,14.61104167,22.6,12.1,6.4,17.7
53283.93,14.69041667,20.3,13.1,0,9.4
210009.82,14.775625,17.7,13.2,0.2,22.7
49777.06,14.87541667,19.1,16.2,26,12.6
226428.54,15.39833333,20.1,10.2,0,9.7
193690.24,15.588125,21.7,10.5,0,10.4
50980.83,16.16791667,19.7,12.7,0,10.5
184194.14,16.38729167,15.7,13,3,11.3
250473.62,16.76208333,23.2,12.3,0,18.4
185106.58,16.89229167,22.4,13.9,0,19.5
52796.04,16.895625,21.5,10.3,0,8.8
54088.25,17.13895833,17.7,9.3,2,9.7
46973.31,17.33,17.6,9.8,0,6.5
54668.52,17.69520833,15,6.8,1.8,3.2
43245.46,17.74125,25.8,14.1,0,23.1
49040.02,17.95520833,18.2,13.6,5.2,8.8
51159.55,17.971875,14,7.7,3,9.3
224248.12,18.22395833,18.9,7.1,0,10.4
55264.27,18.53604167,21.5,10.9,0,12.5
64177.83,18.67416667,19.2,10,0,10.3
52796.82,18.82791667,17.5,13.4,3.8,11.1
62607.75,19.0025,19.8,12.1,0,5.4
225745.76,19.05145833,19.7,9.6,0,9.7
54531.03,19.116875,15.9,10.6,1,5.2
64179.57,19.1925,20.1,12.6,0.2,3
54466.24,19.369375,27.2,15,0,11.3
56646.87,19.5075,15.2,12.5,0,3.7
57114.47,19.62145833,11.9,11.3,49.8,2.1
204463.54,19.630625,17.1,8.1,0,9.3
265172.05,19.67333333,25.2,12.4,0,17.5
55774.94,20.12083333,19.4,14.3,0,12.1
55004.76,20.1475,17.9,5.8,0,7.4
273399.31,20.16541667,28.2,18.7,0,21
56240.01,20.31479167,15.9,8.9,0,3.5
189283.4,20.416875,21,12.3,0,19.7
207714.22,20.55666667,28.2,19.6,0,19.9
60065.74,20.650625,17.6,11,5.8,10.8
210196.05,20.77791667,16.9,9.5,0,4.5
223331.45,20.96729167,14.2,8.3,2.6,6.2
54859.45,21.06166667,23.6,12.6,0,8.7
215572.51,21.18520833,14,12.6,7.6,5.4
55788.57,21.22020833,28.6,16.1,0,12.6
44767.37,21.42416667,25.9,14.8,0,19.7
54673.09,21.68291667,20.6,16.9,0,11.9
55740,21.69333333,18.9,10.5,0,6.6
257246.2,21.69645833,19.6,9.8,0,17
254477.75,21.76458333,13,7.6,7,5.1
53314.38,21.94125,15,8.5,0,9.6
218337.19,22.02395833,20.8,12,3.8,8.1
57897.01,22.295,18.5,10.8,0,4.2
259435.81,22.33020833,23.6,14.3,0,16.7
48733.67,22.41833333,14.2,10.9,2.6,5.2
55000.47,22.59520833,15.7,10.6,10.6,6.8
215106.01,22.77229167,15.2,10.4,5.8,8
268794.74,22.83125,22.1,10.3,0,18
291386.73,22.846875,20.1,9.1,0,13.8
49169.67,22.90208333,16.2,9.3,2,8.9
266081.68,22.97854167,28.3,16,0,17.7
279871.27,23.11416667,20.9,11.5,1.6,13.9
57049.69,23.115,12.7,7.8,1.3,7.5
53007.3,23.24354167,16.7,14.1,0,2
285042.17,23.40104167,21.5,12.9,5.2,10.9
47105.54,23.5925,20.3,11.5,0,16.8
53439.72,23.72979167,12.8,9.2,4.2,4.6
47772.11,23.83770833,18.7,14.5,6,18.4
253666.46,23.865,24.3,16.9,1.4,10.8
312997.45,23.90833333,29,13.7,0,11.1
55515.36,23.959375,13.1,4.6,2,8.1
214068.13,23.98020833,19.7,11.3,0,28.6
48060.69,24.04104167,18,9.8,17,18.5
66526.88,24.09145833,17.4,9.9,5.2,8.9
242442.91,24.09354167,18.4,11.6,0.4,8
63952.45,24.12395833,19,9,0,11.9
70043.78,24.21541667,15.9,12.3,0,2.9
65436.46,24.21625,29.1,19.1,0,16.3
271337.95,24.36895833,24.6,8,0,17
276776,24.57979167,29.9,19.6,2.2,20.8
281574.74,24.65104167,20.6,14.6,0,14.3
271727.27,24.80166667,22.6,10.5,0,18
213130.59,24.92354167,22.3,15.1,0.8,12.7
44735.21,25.19020833,27.3,10.9,0,16.6
54256.54,25.28479167,17.3,16,0.4,8.1
256338.44,25.32375,23.4,13.1,0,14
