Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
62358.48,-0.27,12.3,10.4,2.4,6.7
52762.46,0.160625,11.5,4.7,11,7.3
58706.42,1.932083333,15,10.4,0,8.5
52971.92,11.35625,18.2,4.7,0,11
67567.39,13.70125,16.5,7.5,0,6.3
51593.41,17.45145833,14.8,9.4,0,8.1
73671.52,19.78375,12.5,9,14.2,10.2
50786.85,26.36020833,17.9,7.9,0,8.8
65122.02,27.153125,19.3,6.6,0,9.6
276408.51,32.50854167,26.2,7.7,0,18.3
52540.9,33.83729167,20.4,16.2,2.6,16.4
58896.14,35.20354167,21.9,11,0,10.6
58536.24,37.34,15.5,2.6,0,13.4
272317.87,38.16291667,25.4,13.7,0,18.4
62983.49,38.21041667,20.2,9.3,0,13.3
57416.13,38.789375,15.3,4.6,0.2,6.9
53496.66,41.453125,10.1,8.1,0.1,7.2
55376.09,42.11104167,14.8,5.6,0,11.1
216266.06,42.23958333,19.2,12,4.6,7.6
191337.54,42.37625,19.7,14.6,4.9,13.6
50224.91,42.801875,20.1,10.6,0,11.7
255203.03,42.85270833,24.9,10.7,0,18.7
48144.36,43.21291667,22.7,16,4.6,23
253534.27,43.53854167,24.4,12.7,0,16.2
261020.16,43.663125,23,10.2,0,17.7
52175.33,44.12916667,17.9,12,5,10.5
57346.48,45.49395833,14.5,7.7,0.8,3.7
55542.41,45.68604167,15.4,6.9,0,7.3
54463.94,46.27,24.3,14.1,0,12.3
272929.32,46.51333333,28.6,12.9,0,17.8
50526.5,46.525625,17.7,7,0.8,8.8
266088.61,48.0725,25,12.6,0.6,14
221632.75,48.54708333,19.4,8.8,0.1,9.3
222577.81,48.783125,17.1,8,0,10.3
232301.83,48.9125,14.5,8.1,7.2,8.5
374372.89,49.15166667,19.1,10.6,0,11
293721.62,49.205,30.7,20.8,0,20.8
63412.18,49.21625,13.6,8.8,19.2,6.2
390952.71,50.04125,22.3,8.9,0,15.8
63379.45,50.17708333,14.2,11.9,6,9
214606.95,50.18458333,18,7.9,0.6,13
275783.32,50.245,23.1,11,0,18.2
235848.26,50.27020833,17.6,13,1.2,2.6
241494.16,50.35479167,16.6,11.5,0.2,11.5
66069.16,50.61583333,14.8,10.2,0.4,9.6
385371.5,50.75854167,21.4,8.6,0,10.9
56178.7,50.856875,22.2,15.4,0,9.9
353479.12,51.20020833,21.3,8.9,0,15.3
274029.75,51.46333333,23.5,13.4,1.2,12.1
67194.67,51.63479167,18.1,8.5,0,11.7
56418.08,51.75875,18.7,5.5,0,13.7
327018.42,51.873125,25.6,17.2,16.4,18.3
54561.84,52.10958333,17.8,11.1,0,3.8
272899.81,52.51895833,26.3,19,11,13.5
64475.68,52.6725,16,12,0.8,9.7
63482.29,52.70666667,14.1,10.8,13,4.5
294173.46,53.11666667,27.3,18.8,0,15.2
58050.24,53.16979167,17.7,7,0.1,7.9
362326.06,53.43604167,25.9,6.1,0,16.2
344795.94,53.51208333,30,17.6,0,14.3
273709.44,53.71354167,23.7,12.4,0,18.1
66179.49,53.778125,15.8,11.1,8.2,9.4
273763.15,53.948125,26.6,19.1,0,14.2
261978.99,54.35166667,24.5,11.6,0,19
267702.24,54.55354167,22.1,9.4,0,15
277210.15,54.72770833,27.2,12,0,18.7
256935.01,54.75270833,27.7,10.2,0,17.8
288362.09,54.92083333,23.9,11.9,0,13.7
222586.3,55.08541667,16.6,11.3,0,8.1
