,Unnamed: 0,Period start,Period end,Region ID,Region description,Average_Consumption,Coverage_Percentage,Total_Rainfall,Avg_Mean_Temp,Avg_Max_Temp,Avg_Min_Temp,Avg_Vapor_Pressure,Total_Rain_Days
102,102,2018-07-01,31/07/2018,1,Northland,673.0,92.76,96.8,11.3,17.1,5.5,11.6,15.0
103,103,2018-08-01,31/08/2018,1,Northland,617.0,92.67,75.2,11.8,17.2,6.3,11.9,18.0
105,105,2018-10-01,31/10/2018,1,Northland,510.0,92.39,32.2,14.0,19.9,8.1,13.2,9.0
106,106,2018-11-01,30/11/2018,1,Northland,457.0,92.2,117.2,16.3,21.5,11.1,14.7,10.0
107,107,2018-12-01,31/12/2018,1,Northland,462.0,92.1,123.8,18.7,23.6,13.8,17.4,16.0
108,108,2019-01-01,31/01/2019,1,Northland,460.0,93.12,7.4,21.1,26.7,15.6,18.7,3.0
109,109,2019-02-01,28/02/2019,1,Northland,402.0,93.23,61.2,20.2,25.6,14.7,19.0,9.0
110,110,2019-03-01,31/03/2019,1,Northland,445.0,93.13,41.4,19.1,25.1,13.0,18.4,9.0
111,111,2019-04-01,30/04/2019,1,Northland,465.0,92.98,54.0,15.4,21.1,9.7,15.4,9.0
112,112,2019-05-01,31/05/2019,1,Northland,523.0,92.95,30.2,14.7,19.9,9.4,14.7,16.0
113,113,2019-06-01,30/06/2019,1,Northland,588.0,92.76,83.6,12.0,16.7,7.2,12.2,23.0
114,114,2019-07-01,31/07/2019,1,Northland,630.0,92.8,97.6,12.0,17.1,6.9,13.1,22.0
115,115,2019-08-01,31/08/2019,1,Northland,622.0,92.22,86.6,12.2,16.3,8.2,12.7,27.0
116,116,2019-09-01,30/09/2019,1,Northland,559.0,92.53,96.8,13.2,18.3,8.1,13.4,21.0
117,117,2019-10-01,31/10/2019,1,Northland,518.0,92.49,126.4,14.9,19.5,10.3,13.1,18.0
120,120,2020-01-01,31/01/2020,1,Northland,454.0,89.63,12.8,20.2,26.6,13.8,17.2,2.0
229,229,2018-07-01,31/07/2018,2,Auckland,812.0,96.56,116.0,10.5,15.2,5.7,11.5,21.0
